"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"TOLERANCE";
"C1";"4.7u/25V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C0805";"";
"C2";"4.7u/25V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C0805";"";
"C3";"4.7u/25V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C0805";"";
"C4";"4.7u/25V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C0805";"";
"C5";"4.7u/25V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"C0805";"";
"C102.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C102.2";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C102.3";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C102.4";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C104.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C104.2";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C104.3";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C104.4";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C105.1";"10p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C105.2";"10p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C105.3";"10p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C105.4";"10p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C106.1";"330p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C106.2";"330p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C106.3";"330p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C106.4";"330p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C107.1";"DNP";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C107.2";"DNP";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C107.3";"DNP";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C107.4";"DNP";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C121";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C122.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C123.1";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C152.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C152.3";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C153.1";"10n/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C153.2";"10n/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C153.3";"10n/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C153.4";"10n/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C301";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C302";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C303";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C304";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C305";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C306";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C307";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C321.1";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C321.2";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C351.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C351.2";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C351.3";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C351.4";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C352.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C352.2";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C352.3";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C352.4";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C601.1";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C601.2";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C601.3";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C601.4";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C602.1";"10n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C602.2";"10n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C602.3";"10n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C602.4";"10n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"D101.1";"SD101";"SD101AWS";"SOD323-R";"";"";"";"";"";"SOD-323";"";
"D101.2";"SD101";"SD101AWS";"SOD323-R";"";"";"";"";"";"SOD-323";"";
"D101.3";"SD101";"SD101AWS";"SOD323-R";"";"";"";"";"";"SOD-323";"";
"D101.4";"SD101";"SD101AWS";"SOD323-R";"";"";"";"";"";"SOD-323";"";
"D151";"MM3Z3V3T1GR";"MM3Z3V3T1GR";"SOD323-R";"";"";"";"";"";"SOD323";"";
"D152";"MM3Z3V3T1GR";"MM3Z3V3T1GR";"SOD323-R";"";"";"";"";"";"SOD323";"";
"D351.1";"SD101";"SD101AWS";"SOD323-R";"";"";"";"";"";"SOD-323";"";
"D351.2";"SD101";"SD101AWS";"SOD323-R";"";"";"";"";"";"SOD-323";"";
"D351.3";"SD101";"SD101AWS";"SOD323-R";"";"";"";"";"";"SOD-323";"";
"D351.4";"SD101";"SD101AWS";"SOD323-R";"";"";"";"";"";"SOD-323";"";
"IC101.1";"LT1167";"LT1167";"SO08";"";"";"";"";"";"SO-8";"";
"IC101.2";"LT1167";"LT1167";"SO08";"";"";"";"";"";"SO-8";"";
"IC101.3";"LT1167";"LT1167";"SO08";"";"";"";"";"";"SO-8";"";
"IC101.4";"LT1167";"LT1167";"SO08";"";"";"";"";"";"SO-8";"";
"IC151.1";"MCP602SN";"MCP602SN";"SO08";"Single Op Amp 2.7V to 6.0V Single Supply CMOS";"";"";"";"";"SO-08";"";
"IC151.3";"MCP602SN";"MCP602SN";"SO08";"Single Op Amp 2.7V to 6.0V Single Supply CMOS";"";"";"";"";"SO-08";"";
"IC301";"AD5664";"AD5664R";"MSOP10";"D/A-Wandler 4 Kanal 16bit SPI-Interface Lieferant: RS-ComponentsArtikelnummer: 709-5960";"";"";"";"";"";"";
"IC302";"LT1004CLP-2.5";"LT1004CLP-2.5";"TO92-";"";"";"";"";"";"TO-92";"";
"IC303";"TL074D";"TL074D";"SO14";"OP AMP";"";"";"";"";"SO-14";"";
"IC351.1";"AD8672ARZ";"OPA2156ID";"SO08";"";"";"";"";"";"SO-08";"";
"IC351.2";"AD8672ARZ";"OPA2156ID";"SO08";"";"";"";"";"";"SO-08";"";
"IC351.3";"AD8672ARZ";"OPA2156ID";"SO08";"";"";"";"";"";"SO-08";"";
"IC351.4";"AD8672ARZ";"OPA2156ID";"SO08";"";"";"";"";"";"SO-08";"";
"IC601.1";"MAX6675ISA";"MAX6675ISA";"SO08";"";"";"";"";"";"SO-8";"";
"IC601.2";"MAX6675ISA";"MAX6675ISA";"SO08";"";"";"";"";"";"SO-8";"";
"IC601.3";"MAX6675ISA";"MAX6675ISA";"SO08";"";"";"";"";"";"SO-8";"";
"IC601.4";"MAX6675ISA";"MAX6675ISA";"SO08";"";"";"";"";"";"SO-8";"";
"JP101.1";"";"JP2QE";"JP2Q";"JUMPER";"";"";"";"";"";"";
"JP101.2";"";"JP2QE";"JP2Q";"JUMPER";"";"";"";"";"";"";
"JP101.3";"";"JP2QE";"JP2Q";"JUMPER";"";"";"";"";"";"";
