"Part";"Value";"Device";"Package";"Description";"I_OUT";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"R1";"R2";
"C1";"22n/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"C0603";"";"";
"C2";"1000uF/16V";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C3";"1000uF/16V";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C4";"1000uF/16V";"CPOL-EUE5-10.5";"E5-10,5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C5";"1n/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"C0603";"";"";
"C101";"47µF/25V";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C102";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C103";"47u/35V";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C104";"47u/35V";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C105";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C106";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C107";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C108";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C109";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C110";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C111";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C112";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C113";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C114";"100n/50V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C115";"10u/16V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C116";"10u/16V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"C0805";"";"";
"C119";"100nF/50V";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"C1206";"";"";
"C120";"100nF/50V";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"C1206";"";"";
"C121";"100nF/50V";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"C1206";"";"";
"D1";"BAT46W";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"";"SOD-123";"";"";
"D101";"1N4148";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"";"SOD-123";"";"";
"D102";"1N4148";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"";"SOD-123";"";"";
"D103";"BZX84B3V9";"BZX84B";"SOT23";"";"";"";"";"";"";"SOT-23";"";"";
"D104";"VS-30BQ040";"DIODE-SMC";"SMC";"DIODE";"";"";"";"";"";"SMB";"";"";
"G1";"CR2032H";"CR2032H";"CR2032H";"LI BATTERY Varta";"";"";"";"";"";"";"";"";
"G101";"AB9V";"AB9V";"AB9V";"9-V BATTERY CLIP";"";"";"";"";"";"";"";"";
"IC1";"MCP14E09";"MCP14E09";"SO-08";"";"";"";"";"";"";"SO-8";"";"";
"IC2";"SFH6156";"SFH6156";"SFH";"5.3 kV TRIOS High Reliability Optocoupler";"";"VISHAY/TELEFUNKEN";"SFH6156-4T";"1612479";"21H7733";"";"";"";
"IC3";"SFH6156";"SFH6156";"SFH";"5.3 kV TRIOS High Reliability Optocoupler";"";"VISHAY/TELEFUNKEN";"SFH6156-4T";"1612479";"21H7733";"";"";"";
"IC4";"SFH6156";"SFH6156";"SFH";"5.3 kV TRIOS High Reliability Optocoupler";"";"VISHAY/TELEFUNKEN";"SFH6156-4T";"1612479";"21H7733";"";"";"";
"IC101";"78L05SMD";"78L08SMD";"SO08";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"SO-8";"";"";
"IC102";"7905ACM";"7905ACM";"SO08";"Negative VOLTAGE REGULATOR";"";"";"";"";"";"SO-8";"";"";
"IC103";"LM393D";"LM393D";"SO08";"COMPARATOR";"";"";"";"";"";"SO-8";"";"";
"IC105";"LT1167";"LT1167";"SO08";"";"";"";"";"";"";"SO-8";"";"";
"J102";"PIN23866A.68";"PIN23866A.68";"VOGT_3866A.68";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"";"";"";"";"";"";
"J103";"PIN23866A.68";"PIN23866A.68";"VOGT_3866A.68";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"";"";"";"";"";"";
"J106";"PIN23866A.68";"PIN23866A.68";"VOGT_3866A.68";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"";"";"";"";"";"";
"J107";"PIN23866A.68";"PIN23866A.68";"VOGT_3866A.68";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"";"";"";"";"";"";
"LED1";"GREEN";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";"";
"LED2";"GREEN";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";"";
"LED101";"";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";"";
"LED102";"";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";"";
"LED103";"";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";"";
"OK1";"HCPL0500";"HCPL0500";"SOIC08";"HEWLETT PACKARD OPTO COUPLER";"";"AGILENT TECHNOLOGIES";"HCPL-0500-000E";"9995226";"31K6926";"";"";"";
"Q1";"IRLML5203";"IRLML5203";"MICRO3";"HEXFET P-Channel Power MOSFET";"";"";"";"";"";"SOT-23";"";"";
"Q101";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q102";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q103";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q104";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q105";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
"Q106";"TSM033NB04";"TSM033NB04CR";"PDFN56";"N-Ch MOSFET";"";"";"";"";"";"PDFN56";"";"";
