Qty;Value;Device;Package;Parts;Description;PACKAGE
3;GREEN;LEDSML0805;SML0805;LED101, LED102, LED103;LED;
2;10;R-EU_R0805;R0805;R101, R102;RESISTOR, European symbol;R0805
3;1000uF/16V;CPOL-EUE5-10.5;E5-10,5;C2, C3, C4;POLARIZED CAPACITOR, European symbol;
2;100R;R-EU_R0603;R0603;R108, R121;RESISTOR, European symbol;R0603
11;100n/50V;C-EUC0805;C0805;C102, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114;CAPACITOR, European symbol;C0805
3;100nF/50V;C-EUC1206;C1206;C119, C120, C121;CAPACITOR, European symbol;C1206
5;10R;R-EU_R0603;R0603;R118, R123, R124, R126, R127;RESISTOR, European symbol;R0603
6;10k;R-EU_R0603;R0603;R7, R9, R103, R105, R113, R115;RESISTOR, European symbol;R0603
2;10u/16V;C-EUC0805;C0805;C115, C116;CAPACITOR, European symbol;C0805
1;120k;R-EU_R0603;R0603;R111;RESISTOR, European symbol;R0603
1;12k;R-EU_R0603;R0603;R107;RESISTOR, European symbol;R0603
2;1N4148;DIODE-SOD123;SOD123;D101, D102;DIODE;SOD-123
3;1k;R-EU_R0603;R0603;R3, R112, R122;RESISTOR, European symbol;R0603
1;1k2;R-EU_R0603;R0603;R116;RESISTOR, European symbol;R0603
3;1k5;R-EU_R0603;R0603;R1, R2, R114;RESISTOR, European symbol;R0603
2;1n/25V;C-EUC0603;C0603;C1, C5;CAPACITOR, European symbol;C0603
3;22R;R-EU_R1206;R1206;R4, R5, R6;RESISTOR, European symbol;R1206
1;22k;R-EU_R0603;R0603;R104;RESISTOR, European symbol;R0603
1;270R;R-EU_R0603;R0603;R110;RESISTOR, European symbol;R0603
1;330R;R-EU_R0603;R0603;R117;RESISTOR, European symbol;R0603
2;47u/35V;CPOL-EUD;PANASONIC_D;C103, C104;POLARIZED CAPACITOR, European symbol;
1;47u/25V;CPOL-EUD;PANASONIC_D;C101;POLARIZED CAPACITOR, European symbol;
2;4m;WSL2512;R2512;R125, R128;;R2512
1;680;R-EU_R0603;R0603;R106;RESISTOR, European symbol;R0603
1;78L05SMD;78L08SMD;SO08;IC101;Positive VOLTAGE REGULATOR;SO-8
1;7905ACM;7905ACM;SO08;IC102;Negative VOLTAGE REGULATOR;SO-8
1;AB9V;AB9V;AB9V;G101;9-V BATTERY CLIP;
1;AST_02_3,5MM_45°;AST_02_3,5MM_45°;AST_452_3,5;X1;;
1;AST_03_3,5MM;AST_03_3,5MM_45°;AST_453_3,5;X101;;
1;BAT46W;DIODE-SOD123;SOD123;D1;DIODE;SOD-123
1;BZX84B3V9;BZX84B;SOT23;D103;;SOT-23
1;CR2032H;CR2032H;CR2032H;G1;LI BATTERY Varta;
2;GREEN;LEDSML0805;SML0805;LED1, LED2;LED;
1;HCPL0500;HCPL0500;SOIC08;OK1;HEWLETT PACKARD OPTO COUPLER;
1;IRLML5203;IRLML5203;MICRO3;Q1;HEXFET P-Channel Power MOSFET;SOT-23
1;LM393D;LM393D;SO08;IC103;COMPARATOR;SO-8
1;LT1167;LT1167;SO08;IC105;;SO-8
1;MCP14E09;MCP14E09;SO-08;IC1;;SO-8
1;NUCLEO_F103_BOT;NUCLEO_F103_BOT;NUCLEO_BRD64_LOWER;U201;;
4;PDTC143E;PDTC143E;SOT23;T1, T3, T101, T102;NPN Resistor equipped transistors;SOT-23
4;PIN23866A.68;PIN23866A.68;VOGT_3866A.68;J102, J103, J106, J107;Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON;
3;SFH6156;SFH6156;SFH;IC2, IC3, IC4;5.3 kV TRIOS High Reliability Optocoupler;
1;SS_ESP101;SS_ESP101;SS_ESP101;S101;;
8;TSM033NB04;TSM033NB04CR;PDFN56;Q101, Q102, Q103, Q104, Q105, Q106, Q107, Q108;N-Ch MOSFET;PDFN56
1;VS-30BQ040;DIODE-SMC;SMC;D104;DIODE;SMB
1;n.c.;R-EU_R0603;R0603;R120;RESISTOR, European symbol;R0603
