"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"TOLERANCE";
"2";"";"10-XX";"B3F-10XX";"S1, S11";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"";"";
"1";"";"JP2E";"JP2";"JP323";"JUMPER";"";"";"";"";"";"";
"4";"";"JP2QE";"JP2Q";"JP101.1, JP101.2, JP101.3, JP101.4";"JUMPER";"";"";"";"";"";"";
"2";"";"MPT4";"4POL254";"X601, X602";"PHOENIX CONNECTOR";"";"";"";"";"";"";
"2";"";"SJ";"SJ";"SJ121.1, SJ121.2";"SMD solder JUMPER";"";"";"";"";"";"";
"5";"0R";"R-EU_R0603";"R0603";"R4, R103.1, R103.2, R103.3, R103.4";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"4";"100k";"R-EU_R0603";"R0603";"R154A, R154B, R158, R160";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"17";"100n/50V";"C-EUC0603";"C0603";"C107.1, C107.2, C107.3, C107.4, C121, C123.1, C123.2, C301, C305, C306, C307, C321.1, C321.2, C601.1, C601.2, C601.3, C601.4";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"20";"10k";"R-EU_R0603";"R0603";"R121.1, R121.2, R152.2, R152.3, R152.4, R301, R321.1, R321.2, R351.1, R351.2, R351.3, R351.4, R353.1, R353.2, R353.3, R353.4, R601.1, R601.2, R601.3, R601.4";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"4";"10n/25V";"C-EUC0603";"C0603";"C153.1, C153.2, C153.3, C153.4";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"4";"10n/50V";"C-EUC0603";"C0603";"C602.1, C602.2, C602.3, C602.4";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"4";"10p";"C-EUC0603";"C0603";"C105.1, C105.2, C105.3, C105.4";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"4";"120";"R-EU_R0603";"R0603";"R153.1, R153.2, R153.3, R153.4";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"1";"15K";"R-EU_R0603";"R0603";"R155A";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"16";"1k";"R-EU_R0603";"R0603";"R102.1, R102.2, R102.3, R102.4, R302, R303, R322.1, R322.2, R352.1, R352.2, R352.3, R352.4, R354.1, R354.2, R354.3, R354.4";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"23";"1u/25V";"C-EUC0603";"C0603";"C102.1, C102.2, C102.3, C102.4, C104.1, C104.2, C104.3, C104.4, C122.1, C122.2, C152.1, C152.3, C302, C303, C304, C351.1, C351.2, C351.3, C351.4, C352.1, C352.2, C352.3, C352.4";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"4";"22R";"R-EU_R0805";"R0805";"R355.1, R355.2, R355.3, R355.4";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
"4";"24k9";"R-EU_R0603";"R0603";"R151.1, R151.2, R151.3, R151.4";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"4";"330p";"C-EUC0603";"C0603";"C106.1, C106.2, C106.3, C106.4";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"5";"4.7u/25V";"C-EUC0805";"C0805";"C1, C2, C3, C4, C5";"CAPACITOR, European symbol";"";"";"";"";"C0805";"";
"4";"49k9";"R-EU_R0805";"R0805";"R101.1, R101.2, R101.3, R101.4";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
"2";"4k7";"R-EU_R0603";"R0603";"R157, R159";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
"2";"4k99";"R-EU_R0603";"R0603";"R326.1, R326.2";"RESISTOR, European symbol";"";"";"";"";"R0603";"0.1%";
"3";"680";"R-EU_R0603";"R0603";"R1, R2, R3";"RESISTOR, European symbol";"";"";"";"";"R0603";"";
