"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"TOLERANCE";
"C102.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C102.2";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C102.3";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C102.4";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C104.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C104.2";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C104.3";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C104.4";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C105.1";"10p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C105.2";"10p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C105.3";"10p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C105.4";"10p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C106.1";"330p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C106.2";"330p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C106.3";"330p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C106.4";"330p";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C107.1";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C107.2";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C107.3";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C107.4";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C121";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C122.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C122.2";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C123.1";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C123.2";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C152.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C152.3";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C153.1";"1n/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C153.2";"2.2n/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C153.3";"2.2n/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C153.4";"2.2n/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C301";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C302";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C303";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C304";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C305";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C306";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C307";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C321.1";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C321.2";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C351.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C351.2";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C351.3";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C351.4";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C352.1";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C352.2";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C352.3";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C352.4";"1u/25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C601.1";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C601.2";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C601.3";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C601.4";"100n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C602.1";"10n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C602.2";"10n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C602.3";"10n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"C602.4";"10n/50V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"C0603";"";
"D101.1";"SD101";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"SOD-123";"";
"D101.2";"SD101";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"SOD-123";"";
"D101.3";"SD101";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"SOD-123";"";
"D101.4";"SD101";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"SOD-123";"";
"D151";"MM3Z3V3T1GR";"MM3Z3V3T1GR";"SOD323-R";"";"";"";"";"";"SOD323";"";
"D152";"MM3Z3V3T1GR";"MM3Z3V3T1GR";"SOD323-R";"";"";"";"";"";"SOD323";"";
"D351.1";"1N4148";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"SOD-123";"";
"D351.2";"1N4148";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"SOD-123";"";
"D351.3";"1N4148";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"SOD-123";"";
"D351.4";"1N4148";"DIODE-SOD123";"SOD123";"DIODE";"";"";"";"";"SOD-123";"";
"IC101.1";"LT1167";"LT1167";"SO08";"";"";"";"";"";"SO-8";"";
"IC101.2";"LT1167";"LT1167";"SO08";"";"";"";"";"";"SO-8";"";
"IC101.3";"LT1167";"LT1167";"SO08";"";"";"";"";"";"SO-8";"";
"IC101.4";"LT1167";"LT1167";"SO08";"";"";"";"";"";"SO-8";"";
"IC151.1";"MCP602SN";"MCP602SN";"SO08";"Single Op Amp 2.7V to 6.0V Single Supply CMOS";"";"";"";"";"SO-08";"";
"IC151.3";"MCP602SN";"MCP602SN";"SO08";"Single Op Amp 2.7V to 6.0V Single Supply CMOS";"";"";"";"";"SO-08";"";
"IC301";"AD5664R";"AD5664R";"MSOP10";"D/A-Wandler 4 Kanal 16bit SPI-Interface Lieferant: RS-ComponentsArtikelnummer: 709-5960";"";"";"";"";"";"";
"IC302";"LT1004CLP-2.5";"LT1004CLP-2.5";"TO92-";"";"";"";"";"";"TO-92";"";
"IC303";"TL074D";"TL074D";"SO14";"OP AMP";"";"";"";"";"SO-14";"";
"IC351.1";"OPA2156ID";"OPA2156ID";"SO08";"";"";"";"";"";"SO-08";"";
"IC351.2";"OPA2156ID";"OPA2156ID";"SO08";"";"";"";"";"";"SO-08";"";
"IC351.3";"OPA2156ID";"OPA2156ID";"SO08";"";"";"";"";"";"SO-08";"";
"IC351.4";"OPA2156ID";"OPA2156ID";"SO08";"";"";"";"";"";"SO-08";"";
"IC601.1";"MAX6675ISA";"MAX6675ISA";"SO08";"";"";"";"";"";"SO-8";"";
"IC601.2";"MAX6675ISA";"MAX6675ISA";"SO08";"";"";"";"";"";"SO-8";"";
"IC601.3";"MAX6675ISA";"MAX6675ISA";"SO08";"";"";"";"";"";"SO-8";"";
"IC601.4";"MAX6675ISA";"MAX6675ISA";"SO08";"";"";"";"";"";"SO-8";"";
"JP101.1";"";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";
"JP101.2";"";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";
"JP101.3";"";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";
"JP101.4";"";"JP1E";"JP1";"JUMPER";"";"";"";"";"";"";
"L101.1";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L101.2";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L101.3";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L101.4";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L102.1";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L102.2";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L102.3";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L102.4";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L121";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L301";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L601.1";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L601.2";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L601.3";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L601.4";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L602.1";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L602.2";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L602.3";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"L602.4";"FBMMZ2012S";"FBMMZ2012S";"FB2012";"FERRITE BEAD";"";"";"";"";"2012";"";
"R101.1";"49k4";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
"R101.2";"49k4";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"R0805";"0.1%";
